$	dolar
$	dolar Amerika
$	dolar amerika serikat
Rp	rupiah
IDR	rupiah
£	pound inggris
€	euro
₩	won
nzd	dolar selandia baru
rs	rupee
chf	swiss franc
dkk	kroner Denmark
fim	markka finlandia
aed	dirham emirat arab
¥	yen
czk	koruna ceko
mro	ouguiya mauritania
pkr	rupee pakistan
crc	usus besar kosta rika
hk$	dollar Hongkong
npr	rupee nepal
awg	florin aruba
nok	kroner norwegia
tzs	shilling tanzan
sek	kronor Swedia
cyp	pound siprus
r	nyata
sar	riyal saudi
cve	escudo tanjung verde
rsd	dinar serbia
dm	tanda jerman
shp	santo helena pound
php	peso filipina
cad	dolar Kanada
ssp	pound sunda selatan
scr	rupiah seychelles
mvr	rufiyaa maldivian
