.	dot
-	berlari
-	tanda penghubung
_	menggarisbawahi
!	tanda seru
$	tanda dollar
&	simbol untuk 'dan
'	mengutip
*	asterisk
+	plus
/	memotong
?	tanda tanya
^	sirkomfleks
`	kutipan tunggal yang tepat
{	penyangga kiri
|	batang vertikal
}	penjepit kanan
~	pasang surut
,	koma
%	persen
#	tanda pagar
=	sama dengan
@	at
_	garis bawah
~	tilde
≥	lebih besar dari atau sama dengan
≤	lebih kecil dari atau sama dengan
≠	tidak sama dengan
≈	mendekati sama dengan
±	kurang lebih
×	kali
A	A
B	B
C	C
D	D
E	E
F	F
G	G
H	H
I	I
J	J
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
R	R
S	S
T	T
U	U
V	V
W	W
X	X
Y	Y
Z	Z
a	A
b	B
c	C
d	D
e	E
f	F
g	G
h	H
i	I
j	J
k	K
l	L
m	M
n	N
o	O
p	P
q	Q
r	R
s	S
t	T
u	U
v	V
w	W
x	X
y	Y
z	Z
Α	alfa
Β	beta
Γ	gamma
Δ	delta
Ε	epsilon
Ζ	zeta
Θ	theta
Ι	iota
Κ	kappa
∧	lambda
Μ	mu
Ν	nu
Ξ	ksi
Ο	omikron
∏	pi
Ρ	rho
∑	sigma
Τ	tau
Υ	upsilon
Φ	phi
Χ	khi
Ψ	psi
Ω	omega
α	alfa
β	beta
γ	gamma
δ	delta
ε	epsilon
ζ	zeta
η	eta
θ	theta
ι	iota
κ	kappa
λ	lambda
μ	mu
ν	nu
ξ	ksi
ο	omikron
π	pi
ρ	rho
σ	sigma
τ	tau
υ	upsilon
φ	phi
χ	khi
ψ	psi
ω	omega
