dua ribu dua puluh dua  2022
nol satu dua tiga empat lima enam tujuh delapan sembilan    0123456789
empat belas 14
limabelas   15
enambelas   16
tujuh belas 17
delapan belas   18
sembilan belas  19
dua puluh   20
seratus enam    106
enam ratus  600
ratus   100
seratus 100
satu juta   1,000,000
satu miliar 1 miliar
seratus dua puluh tiga  123
ratus dua puluh tiga  123
dua puluh empat maret 24th March
seribu dua ratus delapan puluh sembilan 1289
lima juta tiga ribu tujuh puluh enam rupiah Rp5003076
ribu tujuh puluh enam rupiah    Rp1076
tujuh puluh enam rupiah dollar   $1076
ditambah enam dua dua satu enam lima tiga sembilan nol enam nol lima +62 21 6539-0605
tiga ribu   3000
sembilan ribu sembilan ratus sembilan puluh sembilan    9999
seribu satu 1001
nol 0
satu    1
dua 2
tiga    3
empat   4
lima    5
enam    6
tujuh   7
delapan 8
sembilan    9
sepuluh 10
sebelas 11
dua belas   12
tigabelas   13
